name,url,telephone,type1,type2,geo_longitude,geo_latitude,addressLocality,addressRegion,addressCountry,tag0,tag1,tag2,tag3,tag4,tag5,tag6,tag7
Lough Unshin And Lough McCall,,3530719841350,LocalBusiness,SportsActivityLocation,-8.20047172433088,54.4974306456252,Ballyshannon,Donegal,Republic of Ireland,Activity,Fishing,Angling,None,None,None,None,None
Lower Lough Avaul,,35302641222,LocalBusiness,SportsActivityLocation,-8.9637,51.906862,Glengarriff,Cork,Republic of Ireland,Activity,Fishing,Angling,None,None,None,None,None
River Lee System,,35302641222,LocalBusiness,SportsActivityLocation,-8.9637,51.906862,Macroom,Cork,Republic of Ireland,Activity,Fishing,Angling,None,None,None,None,None
Knockerra Lough,,,LocalBusiness,SportsActivityLocation,-9.49119021461257,52.6384671283145,Kilrush,Clare,Republic of Ireland,Activity,Fishing,Angling,None,None,None,None,None
Burrishoole Fishery,http://www.burrishoole.ie,35309842300,LocalBusiness,SportsActivityLocation,-9.571961,53.922925,Newport,Mayo,Republic of Ireland,Activity,Fishing,Angling,Activity Operator,Venue,Sports Venues,None,None
Upper Lake Killarney,,,LocalBusiness,SportsActivityLocation,-9.51639841834518,52.0533526535943,Killarney,Kerry,Republic of Ireland,Activity,Fishing,Angling,None,None,None,None,None
The Meadows Trout Fishery,,3530868047516,LocalBusiness,SportsActivityLocation,-7.6872031540283,55.1904173514269,Letterkenny,Donegal,Republic of Ireland,Activity,Fishing,Angling,None,None,None,None,None
Killoughternane,,,LocalBusiness,TouristAttraction,-6.82471115309872,52.6628559636995,Bagenalstown,Carlow,Republic of Ireland,Activity,Church Abbey,Monastery,Attraction,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle
Cork City Library,http://www.corkcitylibraries.ie,353214924900,LocalBusiness,TouristAttraction,-8.475332,51.896731,Cork City,Cork,Republic of Ireland,Activity,Learning,Attraction,Literary Ireland,None,None,None,None
St. Patrick's Well Cross,,,LocalBusiness,TouristAttraction,-7.39327656445312,52.4160710356843,Ahenny,Tipperary,Republic of Ireland,Activity,Church Abbey,Monastery,Attraction,Churches,Abbeys and Monastery,None,None
St. Laurence's Gate - Drogheda Walls,http://www.discoverboynevalley.ie/boyne-valley-drive/heritage-sites/st-laurences-gate-drogheda-walls,353419872843,LocalBusiness,TouristAttraction,-6.347102,53.71591,Drogheda,Louth,Republic of Ireland,Activity,Photography,Learning,Attraction,Historic Houses and Castle,None,None,None
Island Cottage Cookery School,http://www.islandcottage.com,3532838102,LocalBusiness,TravelAgency,-9.43885631149706,51.496242418128,Heir Island,Cork,Republic of Ireland,Activity,Cooking,Cookery,Learning,Activity Operator,None,None,None
Revas Spa at Fitzgeralds Woodlands House Hotel,https://www.woodlandsrevasspa.ie/,35361605120,LocalBusiness,HealthClub,-8.7677221,52.5629615,Adare,Limerick,Republic of Ireland,Activity,Pampering,Health Farm,Spa and Wellness,Specialised Retreat,Spa,Food Shops,Shopping
ESPA at the g Hotel,https://www.theghotel.ie/spa,35391865200,LocalBusiness,HealthClub,-9.0321391,53.2816715,Galway City,Galway,Republic of Ireland,Activity,Pampering,Health Farm,Spa and Wellness,Specialised Retreat,Spa,Activity Operator,None
The Spa at Parknasilla,https://parknasillaresort.com/spa/,353646675600,LocalBusiness,HealthClub,-9.8747331,51.8156968,Parknasilla,Kerry,Republic of Ireland,Activity,Pampering,Health Farm,Spa and Wellness,Specialised Retreat,Spa,None,None
The Hamilton Gallery,https://hamiltongallery.ie/,353719143686,LocalBusiness,Store,-8.47239424040606,54.2705261165702,Sligo Town,Sligo,Republic of Ireland,Activity,Craft,Shopping,Art Gallery,Attraction,None,None,None
The Donegal Gaeltacht,,,LocalBusiness,TouristAttraction,-8.1107141,54.654487,Glencolmcille,Donegal,Republic of Ireland,Activity,Natural Landscape,Attraction,None,None,None,None,None
The Bike Shed,http://www.thebikeshed.ie,353866028228,LocalBusiness,SportsActivityLocation,-8.504709,51.8887628,Cork City,Cork,Republic of Ireland,Activity,Cycling,Activity Operator,Bike Rental,Tour,None,None,None
Pedal Pursuits Bike Hire,http://www.pedalpursuitsbikehire.com,353868134061,LocalBusiness,SportsActivityLocation,-9.1116986,52.4334189,Newcastle West,Limerick,Republic of Ireland,Activity,Cycling,Activity Operator,Bike Rental,None,None,None,None
Ireland's Wildlife,http://www.irelandswildlife.com/discover-wildlife,3530212348015,LocalBusiness,SportsActivityLocation,-9.02821432137455,51.5757325711178,Rosscarbery,Cork,Republic of Ireland,Activity,Bird Watching,Nature and Wildlife,Walking,Activity Operator,Day Tour,Tour,None
O'Riain Pottery,http://oriainpottery.com,353719183838,LocalBusiness,Store,-8.529161,54.062616,Ballymote,Sligo,Republic of Ireland,Activity,Craft,Shopping,Learning,Activity Operator,Food Shops,None,None
Brideweir House,https://www.brideweir.ie,3532536386,LocalBusiness,TouristAttraction,-8.1550475,52.0869699,Conna,Cork,Republic of Ireland,Activity,Castle,Attraction,Historic Houses and Castle,None,None,None,None
126 Artist-Run Gallery,https://126gallery.com/,,LocalBusiness,Store,-9.0494491,53.2772719,Galway City,Galway,Republic of Ireland,Activity,Craft,Shopping,Art Gallery,Attraction,None,None,None
CARHIRE.ie Cork,https://www.carhire.ie/car-hire-cork-city,353212400140,LocalBusiness,Not Available,-8.4691975,51.8944839,Cork City,Cork,Republic of Ireland,Activity,Transport,Coach,Road,None,None,None,None
Allihies Copper Mine Tour,http://bearabaoitours.com,3530876461627,LocalBusiness,SportsActivityLocation,-10.045510909174,51.6391211806187,Allihies,Cork,Republic of Ireland,Activity,Walking,Activity Operator,Tour,None,None,None,None
Cork Bike Rental,http://www.corkbikerental.com/home.php#land,353214211807,LocalBusiness,SportsActivityLocation,-8.48866641157611,51.9238246391985,Cork City,Cork,Republic of Ireland,Activity,Cycling,Bike Rental,None,None,None,None,None
Passage West Maritime Museum CLG,http://passagemuseum.ie/index.html,353871363588,LocalBusiness,Museum,-8.336456,51.872362,Passage West,Cork,Republic of Ireland,Activity,Attraction,Museums and Attraction,None,None,None,None,None
IUNVA Post 19,https://iunvapost19.com/,353864160532,LocalBusiness,TouristAttraction,-7.7318534923462,54.9574038713154,Letterkenny,Donegal,Republic of Ireland,Activity,Attraction,Public Sculpture,None,None,None,None,None
Horsemen of Eire,http://www.horsemenofeire.com,353834343130,LocalBusiness,SportsActivityLocation,-6.60092004969272,52.3616153955064,Wexford Town,Wexford,Republic of Ireland,Activity,Horse Riding,Equestrian,Activity Operator,None,None,None,None
Wild Rover Bikes,http://wildroverbikes.ie,353833457898,LocalBusiness,SportsActivityLocation,-7.34331,52.22183,Kilmacthomas,Waterford,Republic of Ireland,Activity,Cycling,Activity Operator,Bike Rental,None,None,None,None
Ionad Cois Locha,http://dunleweycentre.com/,353749531699,LocalBusiness,Store,-8.1476412,55.025326,Dunlewy,Donegal,Republic of Ireland,Activity,Craft,Shopping,Cruising,Kayaking,Activity Operator,Walking,Attraction
County Museum Dundalk,https://www.louthcoco.ie/en/contact/location_maps/dundalk/dundalk_museum.html,353429327056,LocalBusiness,TouristAttraction,-6.3971254,54.0046228,Dundalk,Louth,Republic of Ireland,Activity,Attraction,Historic Houses and Castle,Museums and Attraction,Venue,Music,Tour,None
Tropical World,https://tropicalworld.ie/,353749121541,LocalBusiness,TouristAttraction,-7.6942623,54.9662137,Letterkenny,Donegal,Republic of Ireland,Activity,Bird Watching,Nature and Wildlife,Attraction,Zoos and Aquarium,Cafe,Food and Drink,Food Shops
Dingle Cookery School,https://www.facebook.com/pages/Dingle-Cookery-School/550799285065901,353868723521,LocalBusiness,FoodEstablishment,-10.2810225,52.1412601,Dingle,Kerry,Republic of Ireland,Activity,Food and Drink,Cooking,Cookery,Learning,Restaurant,Activity Operator,Local Produce
Mary Crowley's Artist Studio and Gallery,https://marycrowleyart.com/,353862664554,LocalBusiness,Store,-7.49599965152231,55.2695837391063,Clonmany,Donegal,Republic of Ireland,Activity,Craft,Shopping,Shopping Centres and Department Store,Art Gallery,Attraction,Food Shops,None
Coarse Angling Killeshandra,http://www.killeshandratourism.com/business/angling-in-killeshandra,3530494334487,LocalBusiness,SportsActivityLocation,-7.527691,54.015737,Killeshandra,Cavan,Republic of Ireland,Ireland's Hidden Hearthlands,Activity,Fishing,Angling,Activity Operator,None,None,None
Abbey Road Artists Studios,http://www.athloneartsandtourism.ie/artists-studios/,353906442154,LocalBusiness,Store,-7.9442923,53.429856,Athlone,Westmeath,Republic of Ireland,Ireland's Hidden Hearthlands,Activity,Craft,Shopping,Art Gallery,Attraction,None,None
Shannon Sailing,http://www.shannonsailing.com,3536724499,LocalBusiness,SportsActivityLocation,-8.28315501852421,52.9241826772898,Nenagh,Tipperary,Republic of Ireland,Ireland's Hidden Hearthlands,Activity,Sailing,Activity Operator,Marina,Venue,None,None
Lough Derg Place of Pilgrimage,https://www.loughderg.org/,353719861518,LocalBusiness,SportsActivityLocation,-7.87127813389588,54.6089850115486,Pettigo,Donegal,Republic of Ireland,Activity,Transport,Walking,Church Abbey,Monastery,Attraction,Churches,Abbeys and Monastery
Kells Historic Trail,https://www.discoverboynevalley.ie/plan-your-visit/things-to-do/kells-historic-trail,353469247508,LocalBusiness,SportsActivityLocation,-6.8707216,53.7263713,Kells,Meath,Republic of Ireland,Activity,Walking,Church Abbey,Monastery,Attraction,Churches,Abbeys and Monastery,Tour
Christ Church - Glandore,https://www.facebook.com/christchurchglandore,353238848166,LocalBusiness,TouristAttraction,-9.1237442,51.5656831,Glandore,Cork,Republic of Ireland,Activity,Attraction,Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery,None
Schoolhouse for Art,http://www.schoolhouseforart.com,35312869594,LocalBusiness,Store,-6.1699289,53.192824,Enniskerry,Wicklow,Republic of Ireland,Activity,Craft,Shopping,Learning,Activity Operator,None,None,None
Clare Day Tours,https://claredaytours.ie,353872704380,LocalBusiness,TravelAgency,-8.540705,52.9000494,Tuamgraney,Clare,Republic of Ireland,Ireland's Hidden Hearthlands,Activity,Activity Operator,Tour,None,None,None,None
Dublin Art Life,http://dublinartlife.com,,LocalBusiness,TouristAttraction,-6.2603097,53.3498053,Dublin City,Dublin,Republic of Ireland,Activity,Art Gallery,Attraction,Museums and Attraction,None,None,None,None
Andaire Tours & Experiences,https://andaire.com/,353876265974,LocalBusiness,TravelAgency,-8.9355011,53.1632686,Kilcolgan,Galway,Republic of Ireland,Activity,Activity Operator,Tour,None,None,None,None,None
River Nore,,,LocalBusiness,TouristAttraction,-7.3441386,52.7294592,Kilkenny City,Kilkenny,Republic of Ireland,Activity,River,Attraction,Discovery Point,None,None,None,None
Hang Tough Contemporary,https://hangtoughcontemporary.com/,35315552234,LocalBusiness,TouristAttraction,-6.2639136,53.3429612,Dublin City,Dublin,Republic of Ireland,Activity,Art Gallery,Attraction,None,None,None,None,None
Tir na Glass,https://tirnaglass.com/,353863099621,LocalBusiness,SportsActivityLocation,-6.71098,52.9407807,Baltinglass,Wicklow,Republic of Ireland,Activity,Walking,Activity Operator,Tour,None,None,None,None
Louth English,https://www.louthenglish.ie/,353857770551,LocalBusiness,Not Available,-6.3825813,53.9835343,Dundalk,Louth,Republic of Ireland,Activity,Learning,None,None,None,None,None,None
Galway City's Medieval Walls,https://www.galwaycitymuseum.ie/medieval-galway/?locale=en,,LocalBusiness,TouristAttraction,-9.0499506,53.2731132,Galway City,Galway,Republic of Ireland,Activity,Attraction,Historic Houses and Castle,Ruins,None,None,None,None
The National Monument,,,LocalBusiness,TouristAttraction,-8.4745872,51.8960944,Cork City,Cork,Republic of Ireland,Activity,Tracing Your Ancestors,Attraction,Public Sculpture,None,None,None,None
Newport Railway Viaduct,,,LocalBusiness,TouristAttraction,-9.5449174,53.8843415,Newport,Mayo,Republic of Ireland,Activity,Attraction,Historic Houses and Castle,None,None,None,None,None
Mick O'Dwyer Statue,,,LocalBusiness,SportsActivityLocation,-10.1721644,51.8267389,Waterville,Kerry,Republic of Ireland,Activity,Gaa,Attraction,Public Sculpture,None,None,None,None
Charles De Gaulle Memorial,,,LocalBusiness,TouristAttraction,-9.9018436,51.8388355,Sneem,Kerry,Republic of Ireland,Activity,Attraction,Public Sculpture,None,None,None,None,None
Pikeman Statue,,,LocalBusiness,TouristAttraction,-9.7051622,52.269098,Tralee,Kerry,Republic of Ireland,Activity,Attraction,Public Sculpture,None,None,None,None,None
Cormac's Coast Tour of the Cliffs of Moher,https://www.cormacscoast.com,353876296957,LocalBusiness,SportsActivityLocation,-9.4097402,52.9714009,Liscannor,Clare,Republic of Ireland,Activity,Bird Watching,Nature and Wildlife,Learning,Photography,Walking,Activity Operator,Tour
North and West Coast Links,https://www.northandwestcoastlinks.com,35391868642,LocalBusiness,SportsActivityLocation,-9.1802675,53.3364672,Moycullen,Galway,Republic of Ireland,Activity,Golf,Activity Operator,Venue,Sports Venues,Tour,None,None
Dan OHaras Homestead - Connemara Heritage & History Centre,https://www.connemaraheritage.net/,3539521246,LocalBusiness,Museum,-9.9117698,53.4792441,Clifden,Galway,Republic of Ireland,Activity,Restaurant,Learning,Attraction,Museums and Attraction,Food and Drink,None,None
The Irish Workhouse Centre,http://www.irishworkhousecentre.ie,353909759200,LocalBusiness,Museum,-8.22380101827696,53.0988276375127,Portumna,Galway,Republic of Ireland,Ireland's Hidden Hearthlands,Activity,Attraction,Museums and Attraction,Food Shops,Shopping,Tour,None
Wild SUP Tours,https://www.wildsuptours.com/,353834766428,LocalBusiness,TravelAgency,-10.2754809,52.1394226,Dingle,Kerry,Republic of Ireland,Activity,Activity Operator,Day Tour,Tour,None,None,None,None
Atlantic Air Adventures,https://atlanticairadventures.com,35361363687,LocalBusiness,TravelAgency,-8.870205,52.713908,Shannon Town,Clare,Republic of Ireland,Activity,Learning,Activity Operator,Attraction,Museums and Attraction,None,None,None
Glenn Lucas Woodturning,http://www.glennlucas.com,353599727070,LocalBusiness,Store,-6.8687256,52.6550156,Bagenalstown,Carlow,Republic of Ireland,Activity,Craft,Shopping,Learning,Activity Operator,None,None,None
Aughnanure Castle,https://heritageireland.ie/visit/places-to-visit/aughnanure-castle/,35391552214,LocalBusiness,TouristAttraction,-9.2757515,53.4187829,Oughterard,Galway,Republic of Ireland,Activity,Castle,Attraction,Historic Houses and Castle,Tour,None,None,None
Michael Davitt Museum,http://www.michaeldavittmuseum.ie,353949031942,LocalBusiness,TouristAttraction,-9.1307741,53.921068,Foxford,Mayo,Republic of Ireland,Activity,Tracing Your Ancestors,Church Abbey,Monastery,Attraction,Churches,Abbeys and Monastery,Museums and Attraction
Holycross Abbey,http://www.holycrossabbey.ie,35350443124,LocalBusiness,TouristAttraction,-7.8681021,52.6395472,Holycross,Tipperary,Republic of Ireland,Activity,Church Abbey,Monastery,Attraction,Churches,Abbeys and Monastery,Food Shops,Shopping
Killarney Guided Tours,https://killarneyguidedtours.biz/,353872309567,LocalBusiness,SportsActivityLocation,-9.5300388,52.0772509,Killarney,Kerry,Republic of Ireland,Activity,Transport,Walking,Activity Operator,Tracing Your Ancestors,Tour,Coach,Road
The Spire,,,LocalBusiness,TouristAttraction,-6.260294,53.350921,Dublin City,Dublin,Republic of Ireland,Activity,Attraction,Public Sculpture,None,None,None,None,None
Racing Tours Ireland,http://www.racingtoursireland.com,353868591695,LocalBusiness,TravelAgency,-6.1348094,53.2607302,Killiney,Dublin,Republic of Ireland,Activity,Activity Operator,Tour,None,None,None,None,None
Pearse Street Library,https://www.dublincity.ie/residential/libraries/find-library/pearse-street-library,35312228431,LocalBusiness,TouristAttraction,-6.2452219,53.3431499,Dublin City,Dublin,Republic of Ireland,Activity,Tracing Your Ancestors,Attraction,Literary Ireland,None,None,None,None
6 Day Northern Ireland Tour - Vagabond Tours of Ireland,https://vagabondtoursofireland.com/tour/6-day-northern-ireland-tour,35314428559,LocalBusiness,TravelAgency,-6.26020515750122,53.3493056292935,Dublin City,Dublin,Republic of Ireland,Activity,Activity Operator,Tour,None,None,None,None,None
Leisureplex Tallaght,http://www.leisureplex.ie,35314599411,LocalBusiness,Not Available,-6.360474,53.286893,Tallaght,Dublin,Republic of Ireland,Activity,None,None,None,None,None,None,None
Patrick Kavanagh,,,LocalBusiness,TouristAttraction,-6.2475417,53.3336867,Dublin City,Dublin,Republic of Ireland,Activity,Attraction,Public Sculpture,None,None,None,None,None
Adventure Rooms Dublin,https://adventurerooms.ie/,35318727927,LocalBusiness,Not Available,-6.2704305,53.3496638,Dublin City,Dublin,Republic of Ireland,Activity,None,None,None,None,None,None,None
Easy Motion,https://easymotion.ie/,35314089999,LocalBusiness,SportsActivityLocation,-6.3490735,53.4135063,Blanchardstown,Dublin,Republic of Ireland,Activity,Cycling,None,None,None,None,None,None
F.X. Buckley Crow Street,https://www.thebuckleycollection.ie/crow-street,35316711248,LocalBusiness,FoodEstablishment,-6.2638828,53.3446014,Dublin City,Dublin,Republic of Ireland,Activity,Food and Drink,Restaurant,None,None,None,None,None
Explorium,https://explorium.ie,35319602000,LocalBusiness,SportsActivityLocation,-6.23729259372487,53.2670645420228,Sandymount,Dublin,Republic of Ireland,Activity,Learning,Adventure Park,Activity Operator,None,None,None,None
Cliffs of Moher Premium Tour  Irish Day Tours,https://www.irishdaytours.ie/cliffs-of-moher-tour-premium,35319073265,LocalBusiness,TravelAgency,-6.27473342757798,53.343111993316,Dublin City,Dublin,Republic of Ireland,Activity,Activity Operator,Tour,None,None,None,None,None
Clondalkin Leisure Centre,https://www.clondalkinleisure.com/,35314574858,LocalBusiness,Not Available,-6.399045,53.3218989,Clondalkin,Dublin,Republic of Ireland,Activity,Fitness and Leisure,Venue,None,None,None,None,None
Rural Pub Tours,https://ruraltours.ie/,35314958111,LocalBusiness,TravelAgency,-6.26089277657161,53.343616040715,Dublin City,Dublin,Republic of Ireland,Activity,Activity Operator,Tour,None,None,None,None,None
Derryglad Folk & Heritage Museum,https://www.derrygladfolkmuseum.com/,353906488192,LocalBusiness,Museum,-8.080592,53.4656574,Athlone,Roscommon,Republic of Ireland,Ireland's Hidden Hearthlands,Activity,Attraction,Museums and Attraction,None,None,None,None
Waterworld Tralee,https://www.waterworld.ie/,353667125803,LocalBusiness,TravelAgency,-9.70428,52.274089,Tralee,Kerry,Republic of Ireland,Activity,Activity Operator,Shopping,Food Shops,None,None,None,None
The Spa at Castleknock Hotel,https://www.castleknockhotel.com/thespa-at-castleknock-hotel.htm,35316406366,LocalBusiness,HealthClub,-6.3905238,53.3663865,Castleknock,Dublin,Republic of Ireland,Activity,Pampering,Health Farm,Spa and Wellness,Specialised Retreat,Spa,None,None
John Farrington Antiques,https://www.facebook.com/johnfarringtonantiques/,35316791899,LocalBusiness,ShoppingCenter,-6.2632477,53.342639,Dublin City,Dublin,Republic of Ireland,Activity,Shopping,Shopping Centres and Department Store,None,None,None,None,None
Breda Haugh Jeweller and Designer,https://bredahaugh.com/,35316705738,LocalBusiness,Store,-6.239407,53.341855,Dublin City,Dublin,Republic of Ireland,Activity,Craft,Shopping,Shopping Centres and Department Store,None,None,None,None
The Library Project,https://www.thelibraryproject.ie/,353897058784,LocalBusiness,ShoppingCenter,-6.2638907,53.3456182,Dublin City,Dublin,Republic of Ireland,Activity,Shopping,Shopping Centres and Department Store,None,None,None,None,None
Arnotts,https://www.arnotts.ie,35318050400,LocalBusiness,ShoppingCenter,-6.2631308,53.3491377,Dublin City,Dublin,Republic of Ireland,Activity,Shopping,Shopping Centres and Department Store,None,None,None,None,None
Arran Street East,https://arranstreeteast.ie/,35318729144,LocalBusiness,Store,-6.2704778,53.3483106,Dublin City,Dublin,Republic of Ireland,Activity,Craft,Shopping,Shopping Centres and Department Store,None,None,None,None
O'Reilly Theatre,https://www.oreillytheatre.com/,35318586690,LocalBusiness,Not Available,-6.2620851,53.3556337,Dublin City,Dublin,Republic of Ireland,Activity,None,None,None,None,None,None,None
Tipperary Excel Centre,https://www.tipperaryexcel.com/,3536280520,LocalBusiness,MovieTheater,-8.1601633,52.4749697,Tipperary Town,Tipperary,Republic of Ireland,Activity,Movies,Cinema,Venue,Tracing Your Ancestors,Art Gallery,Attraction,Museums and Attraction
Tinten Ceoil,http://www.cflt.ie/tintean/,353667138137,LocalBusiness,TravelAgency,-10.1714551,52.2567368,Cloghane,Kerry,Republic of Ireland,Activity,Activity Operator,Traditionally Irish,None,None,None,None,None
Achonry Farmers Market,https://www.achonryfarmersmarket.ie/,353877981827,LocalBusiness,Store,-8.6602689,54.0956912,,Sligo,Republic of Ireland,Activity,Craft,Shopping,Shopping Centres and Department Store,Artisan,Food and Drink,Restaurant,Local Produce
Killarney Tour,https://killarneytour.com/,353872508122,LocalBusiness,TravelAgency,-9.50838002550719,52.0576796917615,Killarney,Kerry,Republic of Ireland,Activity,Activity Operator,Tour,None,None,None,None,None
Abbeyfeale Farmers Market,https://www.iomst.ie/market/abbeyfeale-farmers-market/,353876866450,LocalBusiness,FoodEstablishment,-9.301963,52.384547,Abbeyfeale,Limerick,Republic of Ireland,Activity,Food and Drink,Restaurant,Shopping,Shopping Centres and Department Store,Food Shops,None,None
Altitude Cycle & Outdoor Store,http://www.altitude.ie,35351870356,LocalBusiness,SportsActivityLocation,-7.1187809,52.2602341,Waterford City,Waterford,Republic of Ireland,Activity,Cycling,Shopping,Shopping Centres and Department Store,Food Shops,None,None,None
Adare Woollens,https://adarewoollens.com/,35361396922,LocalBusiness,Store,-8.7898618,52.5646866,Adare,Limerick,Republic of Ireland,Activity,Craft,Shopping,Shopping Centres and Department Store,Food Shops,None,None,None
Boyne Valley Tours,http://www.boynevalleytours.com/,353878354805,LocalBusiness,TravelAgency,-6.3916485,53.6091281,Duleek,Meath,Republic of Ireland,Activity,Activity Operator,Tour,None,None,None,None,None
Lough Derg Blueway North,https://www.bluewaysireland.org/itineraries/lough-derg-blueway-north---portumna-,,LocalBusiness,SportsActivityLocation,-8.2185406,53.0927811,Portumna,Galway,Republic of Ireland,Ireland's Hidden Hearthlands,Activity,Cycling,Kayaking,Activity Operator,Walking,None,None
Athlone Towncentre Shopping Centre,https://athlonetowncentre.com/,353906484387,LocalBusiness,ShoppingCenter,-7.9359324,53.4239889,Athlone,Westmeath,Republic of Ireland,Ireland's Hidden Hearthlands,Activity,Shopping,Shopping Centres and Department Store,Food Shops,None,None,None
Avoca Painting School,https://avocagallery.ie/welcome-to-the-avoca-painting-school/,35340235555,LocalBusiness,Store,-6.227528,52.880018,Avoca,Wicklow,Republic of Ireland,Activity,Craft,Shopping,Learning,Activity Operator,None,None,None
Lough Gill,,,LocalBusiness,TouristAttraction,-8.3825281,54.2496856,Sligo Town,Sligo,Republic of Ireland,Activity,Natural Landscape,Attraction,None,None,None,None,None
Bellacragher Boat Club,https://bellacragherboatclub.ie/claggan-ferry-tour/,353876579348,LocalBusiness,SportsActivityLocation,-9.82844337699839,53.9674584269329,Westport,Mayo,Republic of Ireland,Activity,Cruising,Sailing,Activity Operator,Boat,Tour,None,None
Adelaide Memorial Church,http://www.myshalldrumphea.com/adelaide-church.htm,353599157671,LocalBusiness,TouristAttraction,-6.778635,52.684946,Myshall,Carlow,Republic of Ireland,Activity,Church Abbey,Monastery,Attraction,Churches,Abbeys and Monastery,None,None
Wexford Town Library,https://www.wexfordcoco.ie/libraries/opening-hours-and-branches/wexford-town-library,353539196760,LocalBusiness,TouristAttraction,-6.4636754,52.3390846,Wexford Town,Wexford,Republic of Ireland,Activity,Attraction,Literary Ireland,None,None,None,None,None
Ballyrafton Wood,,,LocalBusiness,TouristAttraction,-7.22985378107382,52.7216886568351,Kilkenny City,Kilkenny,Republic of Ireland,Activity,Public Park,Nature and Wildlife,None,None,None,None,None
Wild Irish Crafts,http://www.wild-irish.ie/,353539429286,LocalBusiness,Store,-6.5611956,52.7652792,Shillelagh,Wicklow,Republic of Ireland,Activity,Craft,Shopping,Shopping Centres and Department Store,Food Shops,None,None,None
Jameson Distillery Bow St.,https://www.jamesonwhiskey.com/en-ie/,35318072355,LocalBusiness,FoodEstablishment,-6.2773544,53.3483761,Dublin City,Dublin,Republic of Ireland,Activity,Food and Drink,Restaurant,Attraction,Museums and Attraction,None,None,None
Gormley's Fine Art,https://www.gormleys.ie/,35316729031,LocalBusiness,TouristAttraction,-6.2563903,53.342245,Dublin City,Dublin,Republic of Ireland,Activity,Art Gallery,Attraction,None,None,None,None,None
Lough Bunny,,,LocalBusiness,Not Available,-8.9246426,53.0220868,Corofin,Clare,Republic of Ireland,Activity,None,None,None,None,None,None,None
Wild Way Tours,https://www.facebook.com/pages/Wild-Way-Tours/1379690978996874?hc_location=ufi,353868233918,LocalBusiness,TravelAgency,-8.43918108650814,51.8737589676238,Kinsale,Cork,Republic of Ireland,Activity,Activity Operator,Tour,None,None,None,None,None
Zozimus Bar,https://zozimusbar.ie,35315369640,LocalBusiness,BarOrPub,-6.25973654328027,53.3405882807492,Dublin City,Dublin,Republic of Ireland,Activity,Food and Drink,Pubs and Bar,None,None,None,None,None
